Nome,Quantidade,Unidade,Preço,Categoria,Tipo
Acém Bovino Friboi a Vácuo Peça,-,-,42.99,Não Orgânico,carnes
Acém Bovino Friboi s/ Osso Resfriado Pedaço,-,-,21.99,Não Orgânico,carnes
Acém Bovino Moído,-,-,16.48,Não Orgânico,carnes
Acém Bovino Pedaço,-,-,29.98,Não Orgânico,carnes
Acém Bovino em Cubos,-,-,31.99,Não Orgânico,carnes
Alcatra Bovina Friboi Extra Limpa,-,-,53.99,Não Orgânico,carnes
Alcatra Bovina Porcionado Resfriado Peça,-,-,46.99,Não Orgânico,carnes
Alcatra Bovina com Maminha Peça,-,-,46.99,Não Orgânico,carnes
Alcatra Bovina p/ Churrasco Friboi Resfriada Pedaço,-,-,39.99,Não Orgânico,carnes
Alcatra Suína Apreciatta Temperada Resfriada Pedaço,-,-,37.99,Não Orgânico,carnes
Alcatra c/ Maminha Bovina Friboi Resfriada Pedaço,-,-,55.99,Não Orgânico,carnes
Alcatra com Maminha Bovino Friboi Tradicional Resfriada Peça,-,-,46.99,Não Orgânico,carnes
Asa de Frango Congelada,-,-,17.99,Não Orgânico,carnes
Asa de Frango Sadia,1,kg,16.99,Não Orgânico,carnes
Assado Inglês Paleta Bovino Friboi Resfriado Pedaço,-,-,27.49,Não Orgânico,carnes
Assado de Tiras Bovino Maturatta Congelado,-,-,39.99,Não Orgânico,carnes
Atum Ralado Crusoe Natural,170,g,7.99,Não Orgânico,carnes
Atum Ralado Gomes da Costa ao Natural,170,g,11.99,Não Orgânico,carnes
Atum Ralado Gomes da Costa em Óleo Comestível Defumado Lata,170,g,11.99,Não Orgânico,carnes
Atum Ralado Gomes da Costa em Óleo Lata,170,g,11.99,Não Orgânico,carnes
Atum Ralado Pescador ao Natural Lata,140,g,8.99,Não Orgânico,carnes
Atum Ralado ao Natural Coqueiro,170,g,8.49,Não Orgânico,carnes
Atum Ralado ao Natural Cuisine&amp;Co Lata,120,g,7.99,Não Orgânico,carnes
Atum Ralado em Óleo Comestível Cuisine&amp;Co Lata,120,g,7.99,Não Orgânico,carnes
Atum Ralado em Óleo Coqueiro Lata,170,g,8.49,Não Orgânico,carnes
Atum Sólido Crusoe Natural,170,g,11.49,Não Orgânico,carnes
Atum Sólido Gomes da Costa Natural,120,g,15.49,Não Orgânico,carnes
Atum Sólido Gomes da Costa em Óleo Lata,170,g,15.49,Não Orgânico,carnes
Atum Sólido Pescador ao Natural,140,g,9.99,Não Orgânico,carnes
Atum Sólido Pescador em Óleo,140,g,9.99,Não Orgânico,carnes
