Nome,Quantidade,Unidade,Preço,Categoria,Tipo
Almôndega de Carne Bovina Corte D Oro Caixa Com 12 Unidades,300,g,24.99,Não Orgânico,carnes
Almôndega de Carne Bovina Sadia Caixa com 20 Unidades,500,g,25.99,Não Orgânico,carnes
Atum Em Filés Palito No Azeite Gomes Da Costa Caixa,125,g,19.98,Não Orgânico,carnes
Atum Sólido ao Natural Baixo Teor de Sódio Gomes da Costa,170,g,15.69,Não Orgânico,carnes
Atum Sólido em Óleo Baixo Teor de Sódio Gomes da Costa,170,g,15.69,Não Orgânico,carnes
Burguer com Picanha Wessel,160,g,9.99,Não Orgânico,carnes
Caldo de Mandioquinha com Frango na Panelinha Seara,300,g,21.99,Não Orgânico,carnes
Carne Moída Vegetal Fazenda Futuro,270,g,28.99,Não Orgânico,carnes
Carré Suíno Kassler Temperado e Cozido Berna,500,g,104.99,Não Orgânico,carnes
Cheeseburguer Sabor Picanha Do Seu Jeito,135,g,9.99,Não Orgânico,carnes
Cogumelo Shimeji Salmão 100% Livre,200,g,19.99,Não Orgânico,carnes
Coxinha de Frango com Requeijão PecPão,500,g,24.99,Não Orgânico,carnes
Croissant de Frango com Catupiry,360,g,32.49,Não Orgânico,carnes
Embutido Suíno Cozido Mignoneto Sadia Peça,4,kg,36.49,Não Orgânico,carnes
Empadão de Frango Congelado,520,g,44.99,Não Orgânico,carnes
Empanada Congelada Carne com Catupiry Original Caixa,180,g,18.99,Não Orgânico,carnes
Empanado De Frango Queijo Sadia Nuggets,300,g,9.99,Não Orgânico,carnes
Empanado De Frango Sadia Nuggets Crocante,300,g,9.99,Não Orgânico,carnes
Empanado De Frango Sadia Nuggets Tradicional,300,g,9.99,Não Orgânico,carnes
Empanado de Frango Chicken Supreme com 2 Molhos Seara Netflix,220,g,19.99,Não Orgânico,carnes
Empanado de Frango Coxinha da Asa Sadia Empanadíssimo,400,g,19.99,Não Orgânico,carnes
Empanado de Frango Incrível 100% Vegetal,300,g,24.99,Não Orgânico,carnes
Empanado de Frango Milanesa Seara,100,g,4.99,Não Orgânico,carnes
Empanado de Frango Perdigão Big Chicken Tradicional,1,kg,35.99,Não Orgânico,carnes
Empanado de Frango Sadia Nuggets Tradicional,700,g,24.99,Não Orgânico,carnes
Empanado de Frango Seara Tekitos Tradicional Pacote,1,kg,31.99,Não Orgânico,carnes
Empanado de Frango Tradicional Perdigão Mini Chicken Pacote,1,kg,29.99,Não Orgânico,carnes
Empanado de Frango em Tiras com Toque de Pimenta Sadia Empanadíssimo,400,g,20.99,Não Orgânico,carnes
Escondidinho de Carne Moída na Panelinha Seara,300,g,23.99,Não Orgânico,carnes
Filé Mignon Suíno Cozinha do Mercado,300,g,29.99,Não Orgânico,carnes
Filé de Frango à Parmegiana Sadia,500,g,23.49,Não Orgânico,carnes
